state_code,date,common_date_id
HI,2021-08,2021-08HI
HI,2021-09,2021-09HI
HI,2021-10,2021-10HI
HI,2021-11,2021-11HI
HI,2021-12,2021-12HI
HI,2022-01,2022-01HI
HI,2022-02,2022-02HI
HI,2022-03,2022-03HI
HI,2022-04,2022-04HI
HI,2022-05,2022-05HI
HI,2022-06,2022-06HI
HI,2022-07,2022-07HI
HI,2022-08,2022-08HI
HI,2022-09,2022-09HI
HI,2022-10,2022-10HI
HI,2022-11,2022-11HI
HI,2022-12,2022-12HI
HI,2023-01,2023-01HI
HI,2023-02,2023-02HI
HI,2023-03,2023-03HI
HI,2023-04,2023-04HI
HI,2023-05,2023-05HI
HI,2023-06,2023-06HI
IA,2018-12,2018-12IA
IA,2019-01,2019-01IA
IA,2019-02,2019-02IA
IA,2019-03,2019-03IA
IA,2019-04,2019-04IA
IA,2019-05,2019-05IA
IA,2019-06,2019-06IA
IA,2019-07,2019-07IA
IA,2019-08,2019-08IA
IA,2019-09,2019-09IA
IA,2019-10,2019-10IA
IA,2019-11,2019-11IA
IA,2019-12,2019-12IA
IA,2020-01,2020-01IA
IA,2020-02,2020-02IA
IA,2020-03,2020-03IA
IA,2020-04,2020-04IA
IA,2020-05,2020-05IA
IA,2020-06,2020-06IA
IA,2020-07,2020-07IA
IA,2020-08,2020-08IA
IA,2020-09,2020-09IA
IA,2020-10,2020-10IA
IA,2020-11,2020-11IA
IA,2020-12,2020-12IA
IA,2021-01,2021-01IA
IA,2021-02,2021-02IA
IA,2021-03,2021-03IA
IA,2021-04,2021-04IA
IA,2021-05,2021-05IA
IA,2021-06,2021-06IA
IA,2021-07,2021-07IA
IA,2021-08,2021-08IA
IA,2021-09,2021-09IA
IA,2021-10,2021-10IA
IA,2021-11,2021-11IA
IA,2021-12,2021-12IA
IA,2022-01,2022-01IA
IA,2022-02,2022-02IA
IA,2022-03,2022-03IA
IA,2022-04,2022-04IA
IA,2022-05,2022-05IA
IA,2022-06,2022-06IA
IA,2022-07,2022-07IA
IA,2022-08,2022-08IA
IA,2022-09,2022-09IA
IA,2022-10,2022-10IA
IA,2022-11,2022-11IA
IA,2022-12,2022-12IA
IA,2023-01,2023-01IA
IA,2023-02,2023-02IA
IA,2023-03,2023-03IA
IA,2023-04,2023-04IA
IA,2023-05,2023-05IA
IA,2023-06,2023-06IA
ID,2018-12,2018-12ID
ID,2019-01,2019-01ID
ID,2019-02,2019-02ID
ID,2019-03,2019-03ID
ID,2019-04,2019-04ID
ID,2019-05,2019-05ID
ID,2019-06,2019-06ID
ID,2019-07,2019-07ID
ID,2019-08,2019-08ID
ID,2019-09,2019-09ID
ID,2019-10,2019-10ID
ID,2019-11,2019-11ID
ID,2019-12,2019-12ID
ID,2020-01,2020-01ID
ID,2020-02,2020-02ID
ID,2020-03,2020-03ID
ID,2020-04,2020-04ID
ID,2020-05,2020-05ID
ID,2020-06,2020-06ID
ID,2020-07,2020-07ID
ID,2020-08,2020-08ID
ID,2020-09,2020-09ID
ID,2020-10,2020-10ID
ID,2020-11,2020-11ID
ID,2020-12,2020-12ID
ID,2021-01,2021-01ID
ID,2021-02,2021-02ID
ID,2021-03,2021-03ID
ID,2021-04,2021-04ID
ID,2021-05,2021-05ID
ID,2021-06,2021-06ID
ID,2021-07,2021-07ID
ID,2021-08,2021-08ID
ID,2021-09,2021-09ID
ID,2021-10,2021-10ID
ID,2021-11,2021-11ID
ID,2021-12,2021-12ID
ID,2022-01,2022-01ID
ID,2022-02,2022-02ID
ID,2022-03,2022-03ID
ID,2022-04,2022-04ID
ID,2022-05,2022-05ID
ID,2022-06,2022-06ID
ID,2022-07,2022-07ID
ID,2022-08,2022-08ID
ID,2022-09,2022-09ID
ID,2022-10,2022-10ID
ID,2022-11,2022-11ID
ID,2022-12,2022-12ID
ID,2023-01,2023-01ID
ID,2023-02,2023-02ID
ID,2023-03,2023-03ID
ID,2023-04,2023-04ID
ID,2023-05,2023-05ID
ID,2023-06,2023-06ID
IL,2018-12,2018-12IL
IL,2019-01,2019-01IL
IL,2019-02,2019-02IL
IL,2019-03,2019-03IL
IL,2019-04,2019-04IL
IL,2019-05,2019-05IL
IL,2019-06,2019-06IL
IL,2019-07,2019-07IL
IL,2019-08,2019-08IL
IL,2019-09,2019-09IL
